,order_id,user_id,product_id,aisle_id,department_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered,user_total_orders,user_avg_days_between,user_avg_cart_pos,user_total_reorders,prod_total_reorders,prod_reorder_rate,prod_order_count,prod_avg_cart_pos
67804,65470,111839,48435,34,1,25,6,11,13.0,9,1,25,13.0,7.0,10,11,0.5,22,10.818181818181818
688649,1638822,30527,5479,115,7,61,6,10,1.0,2,1,61,1.0,4.0,4,946,0.8356890459363958,1132,5.926678445229682
899962,2149180,70931,18792,78,19,40,0,18,6.0,12,1,40,6.0,14.0,17,36,0.6545454545454545,55,10.072727272727272
36232,48117,76016,12206,9,9,13,0,16,30.0,5,0,13,30.0,6.0,5,333,0.47639484978540775,699,10.705293276108726
555081,1434916,36363,7252,32,4,7,4,15,30.0,2,1,7,30.0,2.0,2,38,0.5671641791044776,67,4.477611940298507
220613,766339,83890,33863,77,7,5,0,17,15.0,3,1,5,15.0,2.0,2,16,0.64,25,7.04
1232953,3027113,204458,9550,57,14,5,0,10,28.0,12,1,5,28.0,11.5,15,146,0.6697247706422018,218,9.84862385321101
287828,607692,53469,17678,110,13,8,2,11,29.0,6,0,8,29.0,3.5,1,27,0.5,54,10.74074074074074
849732,2294865,52852,34915,120,16,10,2,21,4.0,2,1,10,4.0,14.5,20,49,0.6533333333333333,75,6.866666666666666
1030870,2513769,99449,34862,107,19,11,3,18,18.0,13,0,11,18.0,7.5,4,117,0.43014705882352944,272,9.878676470588236
806705,2030060,69766,8908,120,16,37,4,09,24.0,9,1,37,24.0,18.5,36,14,0.5384615384615384,26,10.423076923076923
821548,1996009,186072,31717,16,4,6,0,12,30.0,19,0,6,30.0,10.0,6,2308,0.6545660805445264,3526,9.616279069767442
723790,1868769,115491,46969,24,4,48,0,15,7.0,12,1,48,7.0,14.0,27,504,0.7138810198300283,706,9.107648725212465
6016,256928,196819,40363,98,7,5,1,17,17.0,4,1,5,17.0,10.5,8,35,0.8536585365853658,41,5.804878048780488
1102547,2866877,53413,48761,69,15,41,1,10,15.0,32,1,41,15.0,17.0,33,15,0.5172413793103449,29,5.931034482758621
739013,1705869,26549,42030,63,9,7,1,11,4.0,6,0,7,4.0,5.0,7,32,0.6037735849056604,53,9.018867924528301
867222,2100370,193553,31242,67,20,27,1,18,0.0,15,1,27,0.0,10.5,20,47,0.41964285714285715,112,10.821428571428571
1233311,3027941,130456,9421,31,7,17,0,17,3.0,7,1,17,3.0,4.5,6,179,0.7075098814229249,253,7.24901185770751
652590,1791543,92863,30406,83,4,4,5,14,12.0,3,1,4,12.0,4.5,6,187,0.44418052256532065,421,8.53206650831354
218196,520183,57436,22025,120,16,8,5,05,30.0,21,1,8,30.0,15.0,8,188,0.6666666666666666,282,9.02836879432624
913698,2354776,93888,49488,66,6,7,1,21,29.0,6,1,7,29.0,10.5,18,41,0.7884615384615384,52,6.923076923076923
796172,1965915,203715,8637,77,7,36,4,18,2.0,2,1,36,2.0,7.5,13,35,0.7446808510638298,47,4.531914893617022
471639,1304109,95050,2825,67,20,34,0,13,4.0,10,1,34,4.0,15.0,22,290,0.6971153846153846,416,9.913461538461538
1280954,3115309,141324,9755,23,19,11,0,13,4.0,8,1,11,4.0,7.5,9,171,0.5181818181818182,330,9.054545454545455
40831,300084,35355,32201,120,16,14,1,11,30.0,6,0,14,30.0,3.5,1,34,0.6666666666666666,51,9.019607843137255
435908,1002129,23867,35470,115,7,14,4,09,30.0,20,0,14,30.0,10.5,14,30,0.7894736842105263,38,3.9210526315789473
934258,2386046,197673,26709,79,1,12,0,17,18.0,18,0,12,18.0,10.0,1,82,0.5616438356164384,146,9.013698630136986
1136486,2686974,74047,46906,24,4,4,0,18,30.0,13,0,4,30.0,8.5,6,1069,0.7000654878847413,1527,8.715127701375245
903114,2156145,111167,14852,9,9,43,0,12,9.0,7,1,43,9.0,4.5,8,202,0.6392405063291139,316,9.677215189873417
446097,1076425,171773,38835,9,9,46,0,12,6.0,6,0,46,6.0,5.0,3,1,0.25,4,14.5
758546,1907630,172934,24841,107,19,25,3,10,30.0,13,1,25,30.0,7.5,14,264,0.7002652519893899,377,10.888594164456233
774300,1737180,34977,13143,25,11,33,3,10,13.0,10,1,33,13.0,13.0,25,14,0.7368421052631579,19,7.894736842105263
588716,1229251,120635,13372,114,17,6,5,11,18.0,4,0,6,18.0,17.0,17,4,0.3333333333333333,12,5.25
248634,800248,135098,38049,107,19,23,5,12,3.0,4,1,23,3.0,3.5,5,19,0.5135135135135135,37,10.81081081081081
1220442,3015799,118612,7559,105,13,16,3,12,12.0,14,0,16,12.0,11.0,6,296,0.644880174291939,459,10.869281045751634
670255,1804858,95624,27845,84,16,47,5,11,2.0,6,1,47,2.0,4.5,8,4174,0.8504482477587612,4908,5.722697636511818
910293,2351577,130151,8424,83,4,21,1,09,7.0,5,0,21,7.0,14.5,21,1671,0.569918144611187,2932,9.657230559345157
488668,1327812,59630,4269,21,16,10,1,13,19.0,1,1,10,19.0,6.0,5,54,0.5510204081632653,98,8.33673469387755
62598,342735,99052,41806,120,16,37,5,08,7.0,14,1,37,7.0,18.0,29,116,0.7733333333333333,150,7.166666666666667
179750,223304,35875,17794,83,4,22,0,16,7.0,10,1,22,7.0,7.5,10,1643,0.657989587505006,2497,9.277533039647578
1115700,2878836,189934,14603,45,19,34,2,10,1.0,9,0,34,1.0,7.5,3,1,0.14285714285714285,7,10.857142857142858
84284,360673,39963,31730,3,19,10,2,09,13.0,15,1,10,13.0,13.5,24,78,0.5954198473282443,131,10.511450381679388
971875,2416997,77264,8006,110,13,77,6,13,6.0,5,1,77,6.0,3.5,5,54,0.27979274611398963,193,10.94300518134715
1248298,3073157,106570,28204,24,4,37,0,13,6.0,6,1,37,6.0,8.5,13,2426,0.7448572305802886,3257,7.2014123426466075
1217928,2782804,97012,30489,67,20,4,5,18,30.0,12,0,4,30.0,8.0,6,2220,0.7767669699090273,2858,8.74737578726382
1026664,2507628,74790,22839,112,3,4,0,17,8.0,6,1,4,8.0,6.5,7,3,0.2727272727272727,11,6.363636363636363
569471,1450567,202678,17122,24,4,17,2,15,8.0,1,1,17,8.0,3.5,6,472,0.7044776119402985,670,6.744776119402985
276129,827557,169309,49158,72,13,5,1,16,30.0,23,0,5,30.0,15.0,14,8,0.34782608695652173,23,12.565217391304348
551455,1181431,61634,28553,116,1,8,5,07,30.0,7,1,8,30.0,5.0,3,201,0.5506849315068493,365,9.2986301369863
1112722,2872210,163491,38890,98,7,14,2,10,13.0,19,1,14,13.0,11.5,13,209,0.5663956639566395,369,8.265582655826558
848163,2290762,162240,4210,84,16,54,4,18,7.0,1,1,54,7.0,4.0,7,1088,0.8149812734082397,1335,5.158801498127341
1122713,2674016,132721,25630,57,14,7,0,07,7.0,12,0,7,7.0,16.0,20,86,0.5548387096774193,155,10.141935483870968
360871,920841,87825,18523,120,16,4,1,15,6.0,8,1,4,6.0,5.5,9,589,0.7271604938271605,810,7.6419753086419755
881976,2322330,122130,8728,107,19,28,5,22,27.0,4,1,28,27.0,10.5,17,59,0.5959595959595959,99,9.88888888888889
869403,2317221,32595,45432,27,5,6,3,11,28.0,2,0,6,28.0,1.5,1,14,0.6363636363636364,22,6.5
337288,666605,145864,31528,21,16,15,2,10,7.0,27,0,15,7.0,15.0,16,38,0.5066666666666667,75,9.773333333333333
689394,1640448,175938,8021,54,17,18,1,09,8.0,14,1,18,8.0,10.0,16,732,0.6187658495350803,1183,9.146238377007608
122551,415554,146658,40469,50,19,29,1,15,30.0,28,1,29,30.0,19.5,28,66,0.5739130434782609,115,12.895652173913044
1011823,2479662,104332,31371,93,3,20,1,12,22.0,6,1,20,22.0,5.5,8,200,0.746268656716418,268,8.335820895522389
606998,1249162,49354,8518,83,4,4,3,13,30.0,2,0,4,30.0,8.5,1,2428,0.6359350445259299,3818,9.881875327396543
873237,2109988,191544,37658,67,20,21,0,12,30.0,5,1,21,30.0,13.5,19,62,0.6326530612244898,98,10.13265306122449
1041878,2587122,45812,13870,107,19,38,2,14,8.0,2,1,38,8.0,5.5,7,640,0.6458123107971746,991,10.319878910191726
1123393,2675636,108763,41621,94,7,20,3,09,20.0,9,0,20,20.0,9.5,7,33,0.3793103448275862,87,10.011494252873563
36537,48901,186586,35336,31,7,7,3,06,30.0,1,1,7,30.0,2.0,2,192,0.6421404682274248,299,7.45819397993311
255825,565577,111401,46979,83,4,17,2,13,30.0,3,0,17,30.0,7.5,4,2457,0.6352119958634953,3868,9.408738366080662
1140196,2696344,95080,11068,21,16,4,0,17,6.0,2,1,4,6.0,6.0,6,306,0.6623376623376623,462,9.621212121212121
293921,617872,174527,21781,106,12,10,0,10,6.0,2,0,10,6.0,5.5,6,31,0.3924050632911392,79,7.6075949367088604
820845,1993824,198793,49215,92,18,6,2,17,30.0,8,1,6,30.0,11.5,13,112,0.5773195876288659,194,11.11340206185567
1324314,3165320,70159,24852,24,4,5,0,14,20.0,12,1,5,20.0,6.5,7,16557,0.8841717398269785,18726,4.959414717505073
811975,2032879,168133,24852,24,4,11,6,06,30.0,7,1,11,30.0,17.0,23,16557,0.8841717398269785,18726,4.959414717505073
1264666,3094848,190043,42265,123,4,26,1,08,7.0,1,1,26,7.0,2.5,4,2479,0.6891854323046983,3597,8.67167083680845
44800,310520,36197,25093,21,16,6,6,17,8.0,27,0,6,8.0,25.0,24,105,0.6,175,8.954285714285714
652445,1791297,139398,12144,34,1,28,4,13,25.0,7,1,28,25.0,6.5,10,104,0.52,200,10.69
598451,1492086,39137,46058,121,14,9,4,11,10.0,4,0,9,10.0,2.5,0,33,0.5789473684210527,57,5.12280701754386
477464,1108223,136353,7485,67,20,29,6,11,14.0,6,1,29,14.0,9.5,15,237,0.6253298153034301,379,9.08707124010554
1113141,2873046,92368,6134,47,11,26,6,13,15.0,4,1,26,15.0,5.0,8,1,1.0,1,4.0
1287542,3347961,4922,18288,107,19,8,1,17,30.0,8,0,8,30.0,7.0,1,323,0.6320939334637965,511,9.864970645792564
855475,2303102,57821,34358,83,4,4,4,19,30.0,1,1,4,30.0,4.5,1,1190,0.6197916666666666,1920,8.795833333333333
526532,1394541,104203,22142,17,13,16,0,18,30.0,1,1,16,30.0,4.5,8,119,0.4817813765182186,247,8.271255060728745
431197,1058852,66045,39911,42,1,7,0,18,30.0,5,0,7,30.0,5.5,1,67,0.6320754716981132,106,8.933962264150944
1199509,2987770,51985,5994,59,15,6,0,13,30.0,9,0,6,30.0,7.0,3,109,0.5317073170731708,205,10.985365853658537
6384,257967,141698,23405,17,13,6,2,13,30.0,7,0,6,30.0,10.5,5,89,0.22997416020671835,387,9.069767441860465
612850,1518735,30963,47543,108,16,7,3,11,30.0,4,0,7,30.0,3.0,1,1,0.3333333333333333,3,3.6666666666666665
1241958,3291295,151932,14966,24,4,7,4,11,9.0,1,1,7,9.0,1.5,1,105,0.5675675675675675,185,6.221621621621622
1120714,2669416,188851,40945,17,13,13,2,06,30.0,6,0,13,30.0,3.5,2,4,0.13333333333333333,30,14.733333333333333
878119,2121679,189479,8518,83,4,38,0,13,7.0,6,1,38,7.0,5.5,9,2428,0.6359350445259299,3818,9.881875327396543
594216,1486507,199505,6400,3,19,7,0,23,21.0,9,0,7,21.0,5.5,5,13,0.5909090909090909,22,11.090909090909092
378936,944806,97749,49235,53,16,6,6,12,30.0,1,0,6,30.0,1.0,0,2129,0.8046107331821618,2646,6.317460317460317
41786,302753,83778,44632,115,7,27,6,11,7.0,13,1,27,7.0,7.5,10,2662,0.7924977671926169,3359,6.303364096457279
8225,10301,47061,15604,120,16,15,6,09,14.0,14,0,15,14.0,8.0,11,85,0.7870370370370371,108,7.861111111111111
574479,1463475,41848,11365,32,4,58,5,01,2.0,4,1,58,2.0,4.0,7,153,0.6710526315789473,228,3.9210526315789473
842004,2275182,12922,9000,83,4,28,3,22,4.0,11,0,28,4.0,10.5,15,48,0.2696629213483146,178,11.134831460674157
1138082,2690662,98240,24082,116,1,15,0,10,21.0,8,1,15,21.0,6.5,12,139,0.5840336134453782,238,9.794117647058824
1243292,3065591,131245,48679,83,4,9,6,09,0.0,5,1,9,0.0,10.5,19,1679,0.653816199376947,2568,9.731697819314642
1210129,2773011,197689,36086,108,16,5,4,14,30.0,5,1,5,30.0,16.5,8,169,0.4592391304347826,368,9.372282608695652
1140105,2696107,49844,20520,81,15,24,2,20,12.0,9,0,24,12.0,12.0,16,97,0.3688212927756654,263,11.695817490494296
607881,1250634,189728,36591,128,3,10,3,17,30.0,6,0,10,30.0,7.5,8,59,0.45384615384615384,130,10.2
848455,2291822,84670,40587,38,1,10,3,09,30.0,1,1,10,30.0,4.5,8,44,0.5176470588235295,85,10.0
953946,2223046,162883,2611,92,18,13,0,11,15.0,5,1,13,15.0,6.5,6,168,0.6486486486486487,259,10.316602316602317
1140444,2696946,142,28666,92,18,46,6,17,2.0,1,1,46,2.0,3.5,5,11,0.6111111111111112,18,12.777777777777779
893700,2341123,60790,4210,84,16,24,2,15,30.0,1,1,24,30.0,16.0,18,1088,0.8149812734082397,1335,5.158801498127341
967050,2245539,174674,8277,24,4,14,6,08,17.0,15,0,14,17.0,11.0,14,1624,0.7211367673179396,2252,8.698934280639431
1070475,2816932,83838,11983,120,16,10,3,12,6.0,12,1,10,6.0,11.5,15,41,0.640625,64,9.03125
721373,1671293,7061,23952,121,14,5,1,17,19.0,19,0,5,19.0,18.5,17,24,0.42857142857142855,56,10.714285714285714
77984,85485,175457,24852,24,4,29,4,15,9.0,1,1,29,9.0,7.0,11,16557,0.8841717398269785,18726,4.959414717505073
88796,371975,22593,22963,96,20,21,0,22,30.0,12,1,21,30.0,19.0,29,731,0.6509349955476402,1123,9.399821905609974
1370164,3253145,61663,12508,83,4,4,0,15,29.0,8,1,4,29.0,13.5,11,97,0.6178343949044586,157,9.152866242038217
873422,2110534,185605,12581,79,1,6,5,09,30.0,9,0,6,30.0,12.5,11,21,0.5526315789473685,38,7.973684210526316
893431,2340349,164636,43352,32,4,11,1,11,30.0,7,1,11,30.0,5.0,7,2328,0.7099725526075022,3279,6.897834705702958
726750,1680006,17118,43086,123,4,9,1,16,15.0,31,1,9,15.0,20.5,27,401,0.6226708074534162,644,8.611801242236025
748430,1713447,113459,42585,14,20,12,1,11,24.0,6,1,12,24.0,9.5,13,844,0.7116357504215851,1186,9.401349072512648
180767,472843,107295,23265,50,19,29,3,16,11.0,24,0,29,11.0,15.5,16,53,0.375886524822695,141,9.836879432624114
527688,1397183,49079,9387,24,4,7,1,14,8.0,14,1,7,8.0,12.5,14,941,0.6823785351704134,1379,7.700507614213198
1059957,2607160,88515,41178,21,16,11,6,21,4.0,11,0,11,4.0,9.5,9,64,0.5,128,9.6953125
372524,934399,91953,28990,16,4,11,1,19,15.0,11,1,11,15.0,10.5,13,74,0.4966442953020134,149,10.0
1323499,3163671,24287,36944,51,13,10,2,20,19.0,1,1,10,19.0,4.0,5,30,0.36585365853658536,82,10.341463414634147
799898,2023522,5724,41593,21,16,4,6,18,20.0,23,0,4,20.0,12.5,8,112,0.4609053497942387,243,11.617283950617283
1359808,3226979,105707,47766,24,4,11,0,16,21.0,13,1,11,21.0,12.5,23,6226,0.8403293291942232,7409,6.417735186934809
361681,922696,73105,31343,21,16,89,2,08,4.0,8,1,89,4.0,6.0,11,637,0.6148648648648649,1036,10.177606177606178
1280412,3113955,70443,32289,112,3,60,0,09,7.0,25,1,60,7.0,14.0,23,7,0.5,14,13.285714285714286
560145,1187809,175287,10644,19,13,4,1,14,22.0,10,0,4,22.0,6.0,7,264,0.45595854922279794,579,10.015544041450777
713467,1846927,144845,4920,123,4,16,5,13,17.0,9,1,16,17.0,5.5,9,2869,0.7068243409706825,4059,8.346883468834688
367757,927139,89162,11182,123,4,9,0,08,30.0,8,1,9,30.0,8.5,16,734,0.6399302528334786,1147,8.530950305143854
497280,1344957,124636,16048,6,2,73,6,18,3.0,20,1,73,3.0,11.5,20,9,0.6,15,9.933333333333334
648014,1574715,48366,1194,115,7,4,1,10,8.0,3,0,4,8.0,4.5,1,318,0.7429906542056075,428,5.397196261682243
1069923,2815478,147957,28384,116,1,9,3,12,18.0,1,0,9,18.0,4.5,3,42,0.5384615384615384,78,10.384615384615385
244071,794023,90043,42625,16,4,9,2,10,12.0,8,0,9,12.0,12.5,9,322,0.48936170212765956,658,9.49696048632219
755373,1899318,193865,42016,86,16,7,5,14,30.0,6,1,7,30.0,9.0,7,27,0.4909090909090909,55,6.090909090909091
910889,2352963,164676,6646,107,19,8,1,07,30.0,22,0,8,30.0,25.5,8,11,0.6875,16,11.0625
416494,973227,96093,40910,77,7,38,4,07,14.0,25,0,38,14.0,16.5,15,199,0.5852941176470589,340,8.83235294117647
313006,881382,122718,14126,38,1,10,3,12,30.0,2,1,10,30.0,4.0,4,95,0.7251908396946565,131,8.282442748091603
805186,2026445,3677,44200,70,11,9,0,16,21.0,1,0,9,21.0,6.0,2,0,0.0,7,11.857142857142858
661335,1592512,92843,32734,131,9,15,6,15,9.0,15,0,15,9.0,10.5,10,367,0.5734375,640,10.2078125
953303,2221759,89947,47325,98,7,23,2,14,13.0,5,1,23,13.0,11.0,14,65,0.5603448275862069,116,8.5
471807,1304567,118106,45007,83,4,4,0,19,18.0,10,0,4,18.0,7.5,8,3266,0.7117018958378731,4589,9.377642187840488
939652,2201551,68791,46667,83,4,12,2,08,15.0,19,0,12,15.0,13.0,14,1241,0.6183358246138515,2007,9.485799701046338
351925,919214,2602,18523,120,16,11,1,12,10.0,2,1,11,10.0,6.5,11,589,0.7271604938271605,810,7.6419753086419755
623282,1763394,116539,31727,81,15,22,4,13,3.0,17,0,22,3.0,9.0,12,69,0.5307692307692308,130,11.076923076923077
756133,1901652,34489,25010,31,7,71,5,18,6.0,3,1,71,6.0,6.5,12,31,0.5166666666666667,60,10.316666666666666
270092,584706,84833,20670,69,15,31,1,15,22.0,19,0,31,22.0,12.5,11,104,0.5279187817258884,197,10.51269035532995
924468,2365882,103539,27730,91,16,37,5,14,21.0,4,1,37,21.0,4.0,7,336,0.7320261437908496,459,6.392156862745098
828331,2052048,121182,42205,129,1,61,4,15,4.0,9,1,61,4.0,6.0,9,46,0.5411764705882353,85,14.694117647058823
262064,574798,32675,37923,134,5,4,4,15,30.0,2,0,4,30.0,5.0,2,42,0.525,80,4.9625
1166517,2942685,23519,1160,62,5,10,2,10,30.0,2,1,10,30.0,3.0,5,83,0.7155172413793104,116,5.387931034482759
1185710,2742986,179194,6187,121,14,10,2,17,5.0,8,0,10,5.0,11.5,4,368,0.6133333333333333,600,10.128333333333334
1051286,2590006,49051,6873,83,4,9,5,14,22.0,8,0,9,22.0,5.5,0,327,0.5570698466780238,587,9.62350936967632
183253,226328,36479,27137,116,1,61,6,11,7.0,29,1,61,7.0,17.5,32,3,0.6,5,17.2
314638,885761,10977,28715,37,1,7,6,21,13.0,27,0,7,13.0,15.0,9,38,0.6129032258064516,62,11.741935483870968
447373,1274769,182895,9339,106,12,5,5,17,5.0,7,1,5,5.0,8.0,4,341,0.7045454545454546,484,10.5
550337,1428296,90500,47209,24,4,5,4,16,13.0,4,1,5,13.0,2.5,3,6042,0.8284656519950637,7293,6.972850678733032
470391,1106066,93345,24852,24,4,7,6,14,30.0,2,1,7,30.0,3.0,3,16557,0.8841717398269785,18726,4.959414717505073
1380128,3278032,27727,37524,2,16,9,6,19,30.0,16,0,9,30.0,16.5,15,237,0.5266666666666666,450,10.21111111111111
1122096,2673020,199330,34584,116,1,6,3,19,9.0,10,0,6,9.0,10.0,3,207,0.5476190476190477,378,11.28042328042328
1169979,2951179,187719,24852,24,4,13,6,18,22.0,3,1,13,22.0,2.5,1,16557,0.8841717398269785,18726,4.959414717505073
127428,141848,26971,11461,128,3,9,5,12,26.0,12,0,9,26.0,8.5,10,150,0.44510385756676557,337,10.258160237388724
333593,657595,33432,46802,116,1,35,6,17,1.0,6,0,35,1.0,4.5,4,639,0.5933147632311978,1077,9.21355617455896
857823,2087852,199101,42768,59,15,6,6,20,30.0,3,1,6,30.0,2.0,2,706,0.6187554776511832,1141,10.434706397896582
593288,1483931,116011,34134,92,18,7,4,08,15.0,17,0,7,15.0,10.0,16,162,0.6044776119402985,268,11.10820895522388
724809,1870753,114859,33731,21,16,14,1,14,13.0,9,1,14,13.0,8.5,13,1067,0.6298701298701299,1694,10.241440377804015
440793,1264048,52501,1463,84,16,36,1,11,21.0,5,1,36,21.0,12.5,18,691,0.8053613053613053,858,5.13986013986014
117101,402022,75265,24852,24,4,12,0,12,14.0,10,0,12,14.0,15.5,9,16557,0.8841717398269785,18726,4.959414717505073
605093,1498827,154828,21137,24,4,36,5,11,12.0,16,1,36,12.0,9.5,14,8603,0.7897007527079126,10894,8.017073618505599
685926,1636867,165512,11033,96,20,4,5,17,30.0,1,1,4,30.0,1.5,1,7,0.5833333333333334,12,4.25
723650,1868415,88913,29382,19,13,8,1,20,17.0,10,0,8,17.0,6.0,6,32,0.25806451612903225,124,9.403225806451612
1030645,2513304,135825,39132,111,17,8,1,16,6.0,1,1,8,6.0,2.5,4,40,0.5194805194805194,77,8.987012987012987
1002529,2544568,146764,4377,24,4,7,3,09,9.0,16,0,7,9.0,12.0,15,50,0.5555555555555556,90,7.411111111111111
1190389,2975737,184636,42585,14,20,12,0,12,20.0,9,1,12,20.0,22.0,25,844,0.7116357504215851,1186,9.401349072512648
885917,2327416,157925,44906,37,1,5,5,13,30.0,10,0,5,30.0,6.0,0,3,0.6,5,14.4
14568,266985,92642,24631,38,1,14,6,22,27.0,11,1,14,27.0,10.0,13,123,0.6949152542372882,177,10.322033898305085
467224,1298606,144452,14447,3,19,15,6,19,28.0,4,1,15,28.0,6.5,4,72,0.7128712871287128,101,9.712871287128714
769017,1918272,186920,47630,24,4,12,4,11,14.0,4,1,12,14.0,6.0,6,460,0.5778894472361809,796,9.048994974874372
972225,2418228,58800,47000,54,17,8,0,16,12.0,8,0,8,12.0,5.0,3,48,0.4752475247524752,101,6.564356435643564
1029991,2567169,15824,27104,83,4,11,6,15,7.0,2,1,11,7.0,4.0,3,1819,0.6861561674839683,2651,9.7167106752169
308791,870897,34439,9172,128,3,13,0,14,6.0,6,1,13,6.0,9.0,10,16,0.5925925925925926,27,8.88888888888889
1162176,2936916,174063,34126,16,4,41,0,12,6.0,5,1,41,6.0,7.5,12,1503,0.62625,2400,9.4075
707290,1656954,185195,40268,78,19,6,2,19,30.0,2,1,6,30.0,7.5,4,165,0.5978260869565217,276,10.789855072463768
678945,1619543,103669,39877,24,4,50,0,08,8.0,27,0,50,8.0,14.5,27,1725,0.7381258023106547,2337,8.64655541292255
471162,1302722,163064,43772,83,4,5,5,16,9.0,3,1,5,9.0,4.5,4,701,0.6845703125,1024,8.9853515625
47080,315271,140373,23716,3,19,5,5,09,30.0,19,0,5,30.0,10.0,8,38,0.4418604651162791,86,10.406976744186046
803153,1973549,81743,21137,24,4,37,4,15,6.0,5,1,37,6.0,4.0,6,8603,0.7897007527079126,10894,8.017073618505599
10739,263201,45880,36758,116,1,14,0,23,21.0,14,1,14,21.0,12.5,14,42,0.6461538461538462,65,6.876923076923077
92198,374820,58742,21903,123,4,14,5,23,30.0,15,0,14,30.0,9.5,6,8055,0.8232829108748978,9784,7.485384300899428
101624,114077,55598,1465,52,1,19,1,10,30.0,4,1,19,30.0,14.0,15,10,1.0,10,9.0
741374,1880676,32680,8138,67,20,26,0,12,29.0,1,1,26,29.0,10.5,11,215,0.5826558265582655,369,9.300813008130081
1066695,2807789,65192,17704,123,4,6,1,10,5.0,16,1,6,5.0,14.0,11,94,0.6811594202898551,138,9.68840579710145
1354458,3213973,173778,45681,37,1,40,6,19,8.0,10,1,40,8.0,17.0,23,142,0.4863013698630137,292,9.219178082191782
997082,2457663,165306,15226,112,3,6,5,11,28.0,20,0,6,28.0,10.5,11,35,0.6481481481481481,54,9.25925925925926
405767,1029085,168049,36082,24,4,10,2,22,24.0,5,1,10,24.0,11.5,17,155,0.4952076677316294,313,11.115015974440894
583235,1220993,183184,22935,83,4,20,0,11,14.0,6,1,20,14.0,11.0,13,3094,0.7212121212121212,4290,8.864801864801866
834808,2062994,200178,43961,123,4,18,1,11,11.0,10,0,18,11.0,12.0,13,1666,0.6772357723577236,2460,9.815853658536586
1325479,3398326,64336,43713,88,13,46,0,08,6.0,11,0,46,6.0,7.0,11,405,0.5328947368421053,760,10.522368421052631
963556,2236852,57792,46979,83,4,6,1,09,30.0,2,0,6,30.0,5.5,6,2457,0.6352119958634953,3868,9.408738366080662
126798,420557,45333,20979,92,18,20,4,19,30.0,3,0,20,30.0,7.0,2,2,0.2857142857142857,7,14.714285714285714
34663,289841,92869,41805,98,7,4,2,18,30.0,3,0,4,30.0,6.0,2,37,0.5441176470588235,68,7.823529411764706
637467,1773604,67352,16797,24,4,6,4,12,5.0,1,0,6,5.0,8.0,2,4786,0.7369879889128427,6494,7.441330458885124
1188401,2744923,178120,22400,88,13,14,2,14,2.0,5,1,14,2.0,4.0,7,15,0.26785714285714285,56,8.392857142857142
484474,1121279,45235,920,120,16,8,4,22,30.0,7,1,8,30.0,7.0,9,59,0.7564102564102564,78,6.576923076923077
718766,1860683,83286,12341,32,4,10,1,10,7.0,3,1,10,7.0,4.5,8,1773,0.7789982425307557,2276,5.455623901581722
1353068,3209979,185907,40310,96,20,12,0,16,29.0,8,1,12,29.0,5.0,8,584,0.6510590858416946,897,9.25752508361204
51486,54904,44313,13423,105,13,11,6,16,15.0,20,1,11,15.0,16.0,21,27,0.3333333333333333,81,10.049382716049383
1206395,2994850,68517,19660,115,7,10,0,16,30.0,4,1,10,30.0,3.5,6,1834,0.8242696629213483,2225,4.525842696629214
1218629,3010243,3591,21137,24,4,4,4,17,10.0,10,0,4,10.0,8.0,7,8603,0.7897007527079126,10894,8.017073618505599
1061177,2799492,199107,3390,24,4,4,3,06,30.0,14,0,4,30.0,11.0,3,25,0.4032258064516129,62,8.870967741935484
352527,688586,7467,24852,24,4,7,6,11,30.0,4,1,7,30.0,7.5,9,16557,0.8841717398269785,18726,4.959414717505073
1261279,3091549,45222,17303,122,12,14,5,18,15.0,9,0,14,15.0,12.5,13,19,0.4523809523809524,42,9.928571428571429
905581,2157211,51400,22124,120,16,6,4,13,10.0,3,1,6,10.0,6.5,9,323,0.7324263038548753,441,8.115646258503402
732555,1694413,61115,48299,123,4,10,3,22,10.0,18,0,10,10.0,11.5,10,123,0.4659090909090909,264,9.981060606060606
136783,430336,79743,1925,42,1,5,3,19,30.0,36,0,5,30.0,33.0,14,12,0.5,24,12.708333333333334
926213,2370731,90721,11985,52,1,41,6,08,22.0,15,1,41,22.0,15.5,23,32,0.7111111111111111,45,8.244444444444444
1257923,3310451,156059,15904,25,11,45,0,13,8.0,24,0,45,8.0,18.0,27,8,0.3076923076923077,26,10.115384615384615
117193,402215,165961,22690,27,5,5,5,17,29.0,6,0,5,29.0,3.5,1,4,0.36363636363636365,11,6.181818181818182
952976,2220880,32168,17600,120,16,64,5,06,8.0,10,1,64,8.0,11.0,17,549,0.7489768076398363,733,8.863574351978173
755319,1899269,15337,1025,16,4,19,6,15,14.0,27,0,19,14.0,15.0,25,135,0.5133079847908745,263,10.368821292775666
9917,14142,165550,38383,83,4,20,5,09,30.0,15,0,20,30.0,8.0,2,549,0.6458823529411765,850,9.168235294117647
338090,905408,127969,10385,83,4,16,2,15,21.0,8,0,16,21.0,4.5,5,254,0.49034749034749037,518,10.978764478764479
709201,1662114,145074,29650,122,12,19,4,11,2.0,9,1,19,2.0,7.0,9,50,0.5050505050505051,99,8.171717171717171
140424,159175,109199,4086,16,4,11,2,14,2.0,8,0,11,2.0,6.5,2,199,0.39019607843137255,510,10.686274509803921
